X,Country,Code,Year,Group,value,Group.y,sum_val
1,Asia and the Pacific,,1990,Death,0,ART,4590760.84
2,Asia and the Pacific,,1990,ART,6320.64,ART,4590760.84
3,Asia and the Pacific,,1991,Death,0,ART,4590760.84
4,Asia and the Pacific,,1991,ART,10355.7,ART,4590760.84
5,Asia and the Pacific,,1992,Death,0,ART,4590760.84
6,Asia and the Pacific,,1992,ART,16604.8,ART,4590760.84
7,Asia and the Pacific,,1993,Death,0,ART,4590760.84
8,Asia and the Pacific,,1993,ART,25689.6,ART,4590760.84
9,Asia and the Pacific,,1994,Death,0,ART,4590760.84
10,Asia and the Pacific,,1994,ART,38120.5,ART,4590760.84
11,Asia and the Pacific,,1995,Death,26.0466,ART,4590760.84
12,Asia and the Pacific,,1995,ART,54830.2,ART,4590760.84
13,Asia and the Pacific,,1996,Death,475.122,ART,4590760.84
14,Asia and the Pacific,,1996,ART,75026.3,ART,4590760.84
15,Asia and the Pacific,,1997,Death,885.544,ART,4590760.84
16,Asia and the Pacific,,1997,ART,98590.1,ART,4590760.84
17,Asia and the Pacific,,1998,Death,1029.85,ART,4590760.84
18,Asia and the Pacific,,1998,ART,125110,ART,4590760.84
19,Asia and the Pacific,,1999,Death,1199.96,ART,4590760.84
20,Asia and the Pacific,,1999,ART,153279,ART,4590760.84
21,Asia and the Pacific,,2000,Death,1341.62,ART,4590760.84
22,Asia and the Pacific,,2000,ART,182083,ART,4590760.84
23,Asia and the Pacific,,2001,Death,1759.73,ART,4590760.84
24,Asia and the Pacific,,2001,ART,210117,ART,4590760.84
25,Asia and the Pacific,,2002,Death,3270.89,ART,4590760.84
26,Asia and the Pacific,,2002,ART,235971,ART,4590760.84
27,Asia and the Pacific,,2003,Death,7091.14,ART,4590760.84
28,Asia and the Pacific,,2003,ART,257377,ART,4590760.84
29,Asia and the Pacific,,2004,Death,12156,ART,4590760.84
30,Asia and the Pacific,,2004,ART,275089,ART,4590760.84
31,Asia and the Pacific,,2005,Death,23738.5,ART,4590760.84
32,Asia and the Pacific,,2005,ART,283268,ART,4590760.84
33,Asia and the Pacific,,2006,Death,43307.2,ART,4590760.84
34,Asia and the Pacific,,2006,ART,280369,ART,4590760.84
35,Asia and the Pacific,,2007,Death,60463.1,ART,4590760.84
36,Asia and the Pacific,,2007,ART,276636,ART,4590760.84
37,Asia and the Pacific,,2008,Death,82448.4,ART,4590760.84
38,Asia and the Pacific,,2008,ART,264780,ART,4590760.84
39,Asia and the Pacific,,2009,Death,100769,ART,4590760.84
40,Asia and the Pacific,,2009,ART,253435,ART,4590760.84
41,Asia and the Pacific,,2010,Death,113431,ART,4590760.84
42,Asia and the Pacific,,2010,ART,244997,ART,4590760.84
43,Asia and the Pacific,,2011,Death,125865,ART,4590760.84
44,Asia and the Pacific,,2011,ART,234475,ART,4590760.84
45,Asia and the Pacific,,2012,Death,136194,ART,4590760.84
46,Asia and the Pacific,,2012,ART,223903,ART,4590760.84
47,Asia and the Pacific,,2013,Death,142762,ART,4590760.84
48,Asia and the Pacific,,2013,ART,213376,ART,4590760.84
49,Asia and the Pacific,,2014,Death,153432,ART,4590760.84
50,Asia and the Pacific,,2014,ART,197238,ART,4590760.84
51,Asia and the Pacific,,2015,Death,161897,ART,4590760.84
52,Asia and the Pacific,,2015,ART,182311,ART,4590760.84
