measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Asia,Male,All Ages,HIV/AIDS,Number,2019,2822920.6395957153,3560460.299525793,2399276.18289778
Prevalence,Asia,Female,All Ages,HIV/AIDS,Number,2019,1715118.7256158409,2015202.488695806,1519944.7549215525
Prevalence,Europe,Male,All Ages,HIV/AIDS,Number,2019,1461145.6278911429,1766211.5340386357,1241362.961770068
Prevalence,Europe,Female,All Ages,HIV/AIDS,Number,2019,693474.2639198526,839962.465875079,580815.9240159777
Prevalence,Oceania,Male,All Ages,HIV/AIDS,Number,2019,41121.60910513706,126043.61599778215,1835.9461298329948
Prevalence,Oceania,Female,All Ages,HIV/AIDS,Number,2019,56143.02833200863,161897.69404475982,2297.9366882340473
Prevalence,Africa,Male,All Ages,HIV/AIDS,Number,2019,9806027.925214378,10347321.671999501,9268138.33594629
Prevalence,Africa,Female,All Ages,HIV/AIDS,Number,2019,16360817.171357058,17012085.403216217,15646532.249504643
Prevalence,America,Male,All Ages,HIV/AIDS,Number,2019,2690371.1230490687,3495530.500841758,1996328.1262193508
Prevalence,America,Female,All Ages,HIV/AIDS,Number,2019,1262767.3960555492,1544700.9916833513,989281.457699517
