"","location","year","Type","Value"
"1","Georgia",1990,"Deaths",0.0347380225045301
"2","Georgia",1990,"Prevalence",1.74802003425217
"3","Georgia",1990,"New_case",0.27730696265717
"4","Japan",1990,"Deaths",0.0543984336002249
"5","Japan",1990,"Prevalence",3.24027674325673
"6","Japan",1990,"New_case",0.513087886040514
"7","Timor-Leste",1990,"Deaths",2.40989799771944
"8","Timor-Leste",1990,"Prevalence",93.6421119778965
"9","Timor-Leste",1990,"New_case",97.9187992506038
"10","China",1990,"Deaths",0.227896591692623
"11","China",1990,"Prevalence",5.62730029721795
"12","China",1990,"New_case",0.817268454921075
"13","Bermuda",1990,"Deaths",25.2432456524832
"14","Bermuda",1990,"Prevalence",247.541154934207
"15","Bermuda",1990,"New_case",42.0467644422683
"16","Uruguay",1990,"Deaths",1.4647629966407
"17","Uruguay",1990,"Prevalence",63.6203574952973
"18","Uruguay",1990,"New_case",11.9750488894755
"19","Iceland",1990,"Deaths",0.774527717823209
"20","Iceland",1990,"Prevalence",20.5400843346331
"21","Iceland",1990,"New_case",3.13946248162797
"22","Vietnam",1990,"Deaths",0.421081013783784
"23","Vietnam",1990,"Prevalence",27.2705321454125
"24","Vietnam",1990,"New_case",5.7343747582292
"25","Kazakhstan",1990,"Deaths",0.497016847152021
"26","Kazakhstan",1990,"Prevalence",14.0861959777484
"27","Kazakhstan",1990,"New_case",2.7243679457979
"28","Poland",1990,"Deaths",0.0528538413786488
"29","Poland",1990,"Prevalence",2.05795732819323
"30","Poland",1990,"New_case",0.767042217865206
"31","Romania",1990,"Deaths",0.873026256583319
"32","Romania",1990,"Prevalence",4.50986121457677
"33","Romania",1990,"New_case",1.08621222698097
"34","Nepal",1990,"Deaths",0.000270973585939678
"35","Nepal",1990,"Prevalence",0.0412057667194204
"36","Nepal",1990,"New_case",0.0837025909706436
"37","Eswatini",1990,"Deaths",3.08295962534188
"38","Eswatini",1990,"Prevalence",260.38892561297
"39","Eswatini",1990,"New_case",134.433911378976
"40","Mongolia",1990,"Deaths",0.000484703749049372
"41","Mongolia",1990,"Prevalence",0.0169228130013212
"42","Mongolia",1990,"New_case",0.00976886503830615
"43","Nicaragua",1990,"Deaths",0.496405550557142
"44","Nicaragua",1990,"Prevalence",7.30769975368437
"45","Nicaragua",1990,"New_case",1.50556837487903
"46","Fiji",1990,"Deaths",0.31051045888812
"47","Fiji",1990,"Prevalence",8.88366282435736
"48","Fiji",1990,"New_case",2.08080598488041
"49","South Africa",1990,"Deaths",7.73799534211402
"50","South Africa",1990,"Prevalence",354.595297011751
"51","South Africa",1990,"New_case",167.009187288118
"52","North Korea",1990,"Deaths",0.117072525365013
"53","North Korea",1990,"Prevalence",6.09869714142359
"54","North Korea",1990,"New_case",0.776382920977767
"55","South Korea",1990,"Deaths",0.145929111542464
"56","South Korea",1990,"Prevalence",4.51328553152063
"57","South Korea",1990,"New_case",0.705924887640689
"58","Chile",1990,"Deaths",0.794207810372632
"59","Chile",1990,"Prevalence",49.8750888299008
"60","Chile",1990,"New_case",6.29095797118086
"61","Kyrgyzstan",1990,"Deaths",0.64809998578187
"62","Kyrgyzstan",1990,"Prevalence",7.53911674040997
"63","Kyrgyzstan",1990,"New_case",1.58820237360212
"64","Kiribati",1990,"Deaths",0.85433240253245
"65","Kiribati",1990,"Prevalence",19.3683062808581
"66","Kiribati",1990,"New_case",3.12490440951506
"67","Haiti",1990,"Deaths",45.9665654455681
"68","Haiti",1990,"Prevalence",1098.30552677875
"69","Haiti",1990,"New_case",405.727966423839
"70","Taiwan",1990,"Deaths",0.0409823377074425
"71","Taiwan",1990,"Prevalence",2.53049798987103
"72","Taiwan",1990,"New_case",1.68596764010112
"73","United States of America",1990,"Deaths",10.9575009589423
"74","United States of America",1990,"Prevalence",363.241117035273
"75","United States of America",1990,"New_case",23.2798793645247
"76","India",1990,"Deaths",0.133015415133836
"77","India",1990,"Prevalence",6.3107659552893
"78","India",1990,"New_case",3.2415747029313
"79","Benin",1990,"Deaths",1.04590561810129
"80","Benin",1990,"Prevalence",45.7403751135434
"81","Benin",1990,"New_case",39.4853869428879
"82","Slovenia",1990,"Deaths",0.202446077772382
"83","Slovenia",1990,"Prevalence",1.68635578921823
"84","Slovenia",1990,"New_case",0.402559845152894
"85","Jamaica",1990,"Deaths",7.68864732015625
