"","location","year","Type","Value"
"1","Georgia",1990,"Deaths",0.0347380225045301
"2","Georgia",1990,"Prevalence",1.83450669222019e-05
"3","Georgia",1990,"New_case",0.27730696265717
"4","Japan",1990,"Deaths",0.0543984336002249
"5","Japan",1990,"Prevalence",3.40904842985553e-05
"6","Japan",1990,"New_case",0.513087886040514
"7","Timor-Leste",1990,"Deaths",2.40989799771944
"8","Timor-Leste",1990,"Prevalence",0.000952866506838927
"9","Timor-Leste",1990,"New_case",97.9187992506038
"10","China",1990,"Deaths",0.227896591692623
"11","China",1990,"Prevalence",5.86950615312568e-05
"12","China",1990,"New_case",0.817268454921075
"13","Bermuda",1990,"Deaths",25.2432456524832
"14","Bermuda",1990,"Prevalence",0.00257073221684359
"15","Bermuda",1990,"New_case",42.0467644422683
"16","Uruguay",1990,"Deaths",1.4647629966407
"17","Uruguay",1990,"Prevalence",0.000678147139102193
"18","Uruguay",1990,"New_case",11.9750488894755
"19","Iceland",1990,"Deaths",0.774527717823209
"20","Iceland",1990,"Prevalence",0.000221841341622513
"21","Iceland",1990,"New_case",3.13946248162797
"22","Vietnam",1990,"Deaths",0.421081013783784
"23","Vietnam",1990,"Prevalence",0.000276986195120303
"24","Vietnam",1990,"New_case",5.7343747582292
"25","Kazakhstan",1990,"Deaths",0.497016847152021
"26","Kazakhstan",1990,"Prevalence",0.00014855737630356
"27","Kazakhstan",1990,"New_case",2.7243679457979
"28","Poland",1990,"Deaths",0.0528538413786488
"29","Poland",1990,"Prevalence",2.17332436887809e-05
"30","Poland",1990,"New_case",0.767042217865206
"31","Romania",1990,"Deaths",0.873026256583319
"32","Romania",1990,"Prevalence",4.68941824738671e-05
"33","Romania",1990,"New_case",1.08621222698097
"34","Nepal",1990,"Deaths",0.000270973585939678
"35","Nepal",1990,"Prevalence",4.18009954342564e-07
"36","Nepal",1990,"New_case",0.0837025909706436
"37","Eswatini",1990,"Deaths",3.08295962534188
"38","Eswatini",1990,"Prevalence",0.00267484297874807
"39","Eswatini",1990,"New_case",134.433911378976
"40","Mongolia",1990,"Deaths",0.000484703749049372
"41","Mongolia",1990,"Prevalence",1.78235221561402e-07
"42","Mongolia",1990,"New_case",0.00976886503830615
"43","Nicaragua",1990,"Deaths",0.496405550557142
"44","Nicaragua",1990,"Prevalence",7.63333901243547e-05
