"","X","location","region","Laws","value","Law"
"1",1,"Afghanistan","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"2",2,"Afghanistan","Asia","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"3",3,"Afghanistan","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"4",4,"Albania","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"5",5,"Albania","Europe","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"6",6,"Albania","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"7",7,"Algeria","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"8",8,"Algeria","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"9",9,"Algeria","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"10",10,"Angola","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"11",11,"Angola","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"12",12,"Angola","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"13",13,"Antigua and Barbuda","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"14",14,"Antigua and Barbuda","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"15",15,"Antigua and Barbuda","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"16",16,"Argentina","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"17",17,"Argentina","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"18",18,"Argentina","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"19",19,"Armenia","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"20",20,"Armenia","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"21",21,"Armenia","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"22",22,"Azerbaijan","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"23",23,"Azerbaijan","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"24",24,"Azerbaijan","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
